Cluster,Count,Percentage,Mean_Energy,Std_Energy,Mean_Probability,Uncertain_Count,Uncertain_Pct
0,955,9.41%,0.6925695614065147,0.4632514991912,0.9946385909630654,7,0.73%
1,194,1.91%,0.7061705425777087,0.3178758764645536,0.9966284786969578,1,0.52%
2,847,8.34%,-1.481322951407253,0.11149912887664669,0.9999828154576567,0,0.00%
3,3226,31.77%,0.4778094355977895,0.5370755811134794,0.9965006998432251,6,0.19%
4,823,8.11%,0.18118905271048694,0.8681368171848094,1.0,0,0.00%
5,24,0.24%,1.0722086494289422,0.25968072631993705,0.9999951131335152,0,0.00%
6,1096,10.79%,-0.2608994914796014,0.8981187718073086,0.9906263309875543,15,1.37%
7,35,0.34%,0.9919498172512741,0.31393565214877783,1.0,0,0.00%
8,1383,13.62%,0.30034663123268557,0.9638661791049646,0.9996532286973402,1,0.07%
9,1570,15.46%,-0.9070936979005124,0.9667100182173003,0.9874319285269214,19,1.21%
