n_clusters,n_noise,noise_ratio,silhouette_without_noise,min_cluster_size,min_samples,selected_best
222,5250,0.5170885452575593,0.4078452756304229,10,3,False
154,4282,0.42174726681768937,0.31036896855371787,10,5,False
114,4988,0.49128336452280114,0.3461927296806255,10,10,False
74,5546,0.5462424899044618,0.337332017904812,10,15,False
75,3992,0.3931842805082242,0.20082875619623008,20,3,False
66,4288,0.4223382251551266,0.2184736394455979,20,5,False
60,4915,0.48409337141731507,0.25965710860911934,20,10,False
52,5585,0.5500837190978036,0.293293588239204,20,15,False
49,4038,0.3977149610952428,0.17670910124380093,30,3,False
44,4583,0.4513936767457894,0.192215211459162,30,5,False
36,5336,0.5255589480941594,0.22471261553603714,30,10,False
31,5837,0.5749039692701664,0.2763079257427278,30,15,False
19,2054,0.2023047375160051,0.09130804812994307,50,3,False
18,2483,0.24455825864276567,0.10533101787604941,50,5,False
13,3206,0.3157687383039496,0.11782564591791128,50,10,False
13,3595,0.35408253718112875,0.13338591092070143,50,15,False
4,482,0.047473653107455924,0.1431368664565943,80,3,False
4,737,0.07258938244853738,0.15027201131904502,80,5,False
4,1173,0.11553235496897468,0.1624916561880753,80,10,False
4,1510,0.14872451492169803,0.17255373094463414,80,15,False
3,184,0.018122722348074462,0.2654654124494055,100,3,False
3,279,0.027479562690830295,0.26785203684749104,100,5,False
3,532,0.05239830591943268,0.27333007470040294,100,10,False
3,786,0.0774155422042746,0.2787583528251071,100,15,True
